Scheduler,NumExistingJobs,OverheadSeconds
WEAVE,1,0.0015167499999999556
WEAVE,3,0.0035604999999998554
WEAVE,5,0.005649999999999933
WEAVE,7,0.007556333000000137
WEAVE,9,0.006476833000000015
WEAVE,11,0.008536957999999872
WEAVE,13,0.007620415999999963
WEAVE,15,0.011675416000000105
WEAVE,100,0.04198720800000011
WEAVE,500,0.19825412499999828
WEAVE,1000,0.3188245839999979
OPT (Brute-Force),0,0.00033962500000939144
OPT (Brute-Force),1,0.0006520420000128979
OPT (Brute-Force),2,0.0025527079999960733
OPT (Brute-Force),3,0.008958666000012272
OPT (Brute-Force),4,0.03336724999999774
OPT (Brute-Force),5,0.11312183300000811
OPT (Brute-Force),6,0.3951102499999877
OPT (Brute-Force),7,1.9452596249999772
OPT (Brute-Force),8,10.862027124999997
OPT (Brute-Force),9,45.86299112500001
OPT (Brute-Force),10,201.49535399999996
